BX = 000 Event : 1
2 0 0101000|000|001|001 0x5009
2 1 0101101|001|110|010 0x5A72
3 0 0110010|001|000|001 0x6441
3 1 0110101|101|001|111 0x6B4F
4 0 0110110|001|101|001 0x6C69
5 0 0001111|100|000|101 0x1F05
5 1 0010011|101|100|110 0x2766
5 2 0010100|000|101|111 0x282F
7 0 0011101|001|111|000 0x3A78
7 1 0011110|001|111|000 0x3C78
7 2 0100010|100|101|011 0x452B
7 3 0100101|000|001|111 0x4A0F
BX = 001 Event : 2
2 0 0100100|000|011|010 0x481A
2 1 0100110|001|101|011 0x4C6B
3 0 0110000|101|010|011 0x6153
3 1 0110101|101|110|111 0x6B77
5 0 0010010|101|111|111 0x257F
BX = 010 Event : 3
2 0 0011111|001|010|011 0x3E53
3 0 0100110|101|110|011 0x4D73
4 0 0100111|101|011|011 0x4F5B
5 0 0001011|100|110|110 0x1736
5 1 0001101|101|011|110 0x1B5E
BX = 011 Event : 4
2 0 1001100|100|110|101 0x9935
2 1 1001111|110|110|111 0x9FB7
3 0 1011011|101|001|011 0xB74B
4 0 1100101|000|010|110 0xCA16
5 0 0100001|001|011|100 0x425C
7 0 0110001|101|001|011 0x634B
7 1 0110010|101|000|011 0x6543
BX = 100 Event : 5
1 0 0101110|101|000|111 0x5D47
3 0 0111010|100|110|010 0x7532
3 1 0111101|100|001|101 0x7B0D
BX = 101 Event : 6
2 0 0101101|110|001|101 0x5B8D
4 0 0110101|000|100|001 0x6A21
5 0 0010111|001|010|100 0x2E54
5 1 0011001|000|010|100 0x3214
6 0 0011101|101|000|101 0x3B45
6 1 0011111|101|111|111 0x3F7F
7 0 0100000|100|100|000 0x4120
BX = 110 Event : 7
3 0 0110111|001|010|010 0x6E52
3 1 0111010|101|100|110 0x7566
4 0 0111011|100|100|000 0x7720
4 1 0111100|001|011|000 0x7858
5 0 0001010|110|010|011 0x1593
6 0 0001111|101|001|010 0x1F4A
BX = 111 Event : 8
3 0 0100101|101|101|111 0x4B6F
BX = 000 Event : 9
2 0 0111100|101|010|011 0x7953
2 1 1000011|001|000|111 0x8647
3 0 1001000|101|110|011 0x9173
4 0 1001100|100|111|000 0x9938
5 0 0010011|100|010|001 0x2711
BX = 001 Event : 10
1 0 0011010|101|110|000 0x3570
2 0 0100000|100|100|111 0x4127
3 0 0100100|101|001|101 0x494D
4 0 0000100|000|010|110 0x0816
4 1 0100110|100|010|101 0x4D15
5 0 0000110|000|010|001 0x0C11
BX = 010 Event : 11
1 0 0101110|101|101|101 0x5D6D
1 1 0110000|100|110|101 0x6135
3 0 0111100|100|101|010 0x792A
3 1 0111101|100|101|010 0x7B2A
4 0 0111111|100|000|101 0x7F05
4 1 1000000|000|000|101 0x8005
5 0 0010100|101|010|110 0x2956
6 0 0011000|100|011|010 0x311A
6 1 0011001|000|000|011 0x3203
6 2 0011010|101|000|011 0x3543
6 3 0011011|000|001|100 0x360C
6 4 0011110|001|010|101 0x3C55
BX = 011 Event : 12
3 0 0110110|101|100|010 0x6D62
3 1 0110111|000|110|100 0x6E34
3 2 0111011|001|001|111 0x764F
5 0 0011011|100|011|111 0x371F
7 0 0100000|001|111|110 0x407E
BX = 100 Event : 13
1 0 0101110|101|010|111 0x5D57
2 0 0110000|100|101|000 0x6128
2 1 0110011|100|111|100 0x673C
3 0 0111001|101|101|111 0x736F
4 0 0111111|101|011|100 0x7F5C
BX = 101 Event : 14
3 0 1000000|101|011|111 0x815F
BX = 110 Event : 15
1 0 0110010|100|000|010 0x6502
3 0 0111010|001|011|010 0x745A
