BX = 000 Event : 1
2 0 0110001|110|010|111 0x6397
3 0 0110100|001|011|110 0x685E
4 0 0001100|110|110|110 0x19B6
5 0 0010101|000|111|110 0x2A3E
6 0 0011001|010|100|011 0x32A3
BX = 001 Event : 2
2 0 0101000|101|100|001 0x5161
3 0 0000000|001|101|010 0x006A
3 1 0000001|010|101|010 0x02AA
3 2 0101110|001|011|001 0x5C59
3 3 0110001|001|101|011 0x626B
4 0 0110111|100|100|010 0x6F22
4 1 0111000|000|011|011 0x701B
5 0 0001101|101|011|000 0x1B58
6 0 0010100|010|000|001 0x2881
6 1 0010111|101|100|101 0x2F65
BX = 010 Event : 3
1 0 0011001|010|010|111 0x3297
3 0 0100100|010|101|010 0x48AA
5 0 0001001|110|101|011 0x13AB
6 0 0010001|000|110|111 0x2237
7 0 0010101|010|101|111 0x2AAF
BX = 011 Event : 4
1 0 1000011|100|101|111 0x872F
3 0 0000000|101|101|001 0x0169
3 1 1010000|101|011|000 0xA158
3 2 1010110|101|101|000 0xAD68
3 3 1011010|101|110|001 0xB571
4 0 0000010|001|100|001 0x0461
4 1 0000100|001|111|011 0x087B
4 2 0001100|000|110|110 0x1836
4 3 0001111|101|101|111 0x1F6F
4 4 1011111|001|001|000 0xBE48
4 5 1100000|010|101|011 0xC0AB
4 6 1100010|101|101|101 0xC56D
4 7 1100011|010|101|110 0xC6AE
4 8 1100100|010|101|110 0xC8AE
5 0 0011001|101|011|011 0x335B
5 1 0011111|101|011|011 0x3F5B
6 0 0101010|010|110|000 0x54B0
BX = 100 Event : 5
0 0 0100111|001|101|011 0x4E6B
0 1 0101000|100|111|100 0x513C
0 2 0101010|110|110|101 0x55B5
2 0 0110010|000|101|011 0x642B
3 0 0000100|101|101|010 0x096A
3 1 0000110|101|100|011 0x0D63
3 2 0000111|001|100|100 0x0E64
3 3 0110110|010|100|000 0x6CA0
3 4 0111000|010|100|001 0x70A1
3 5 0111011|000|110|010 0x7632
4 0 0010000|001|011|110 0x205E
4 1 1000000|010|001|110 0x808E
5 0 0010111|001|101|111 0x2E6F
BX = 101 Event : 6
0 0 0100111|010|100|010 0x4EA2
3 0 0000110|000|111|101 0x0C3D
5 0 0010101|000|001|001 0x2A09
5 1 0011000|100|011|100 0x311C
BX = 110 Event : 7
0 0 0100011|000|111|011 0x463B
0 1 0100100|100|111|100 0x493C
1 0 0101010|001|100|111 0x5467
2 0 0101001|001|100|000 0x5260
2 1 0101100|100|110|000 0x5930
3 0 0111000|010|100|011 0x70A3
3 1 0111001|000|011|011 0x721B
4 0 0111101|100|110|010 0x7B32
5 0 0001011|001|101|110 0x166E
5 1 0001100|010|101|110 0x18AE
6 0 0010101|101|000|101 0x2B45
7 0 0011010|101|010|101 0x3555
7 1 0011100|101|101|110 0x396E
BX = 111 Event : 8
0 0 0011001|101|010|110 0x3356
1 0 0011010|110|110|000 0x35B0
1 1 0011011|001|110|000 0x3670
1 2 0011101|101|110|110 0x3B76
