BX = 000 Event : 1
4 0 0000110|010|110|011 0x0CB3
4 1 0001000|000|110|011 0x1033
7 0 0100001|001|111|010 0x427A
BX = 001 Event : 2
0 0 0011011|010|111|011 0x36BB
1 0 0011111|010|101|001 0x3EA9
2 0 0101011|010|000|111 0x5687
3 0 0000011|000|110|100 0x0634
5 0 0001110|010|000|001 0x1C81
5 1 0010011|001|110|110 0x2676
6 0 0011000|000|110|111 0x3037
BX = 010 Event : 3
7 0 0010100|010|101|101 0x28AD
BX = 011 Event : 4
5 0 0010010|011|110|000 0x24F0
5 1 0100100|010|101|100 0x48AC
7 0 0110110|000|100|101 0x6C25
7 1 0110111|010|010|111 0x6E97
BX = 100 Event : 5
3 0 0000000|001|001|001 0x0049
3 1 0000010|000|110|010 0x0432
3 2 0000101|010|110|011 0x0AB3
3 3 0001010|000|001|110 0x140E
4 0 0001110|001|100|101 0x1C65
6 0 0011000|000|111|001 0x3039
7 0 0011110|001|111|001 0x3C79
7 1 0011111|001|001|001 0x3E49
BX = 101 Event : 6
0 0 0100101|010|010|001 0x4A91
2 0 0110000|010|001|111 0x608F
3 0 0000101|001|111|100 0x0A7C
3 1 0000111|010|101|111 0x0EAF
BX = 110 Event : 7
0 0 0100101|001|000|100 0x4A44
1 0 0101011|001|101|111 0x566F
3 0 0000001|000|011|001 0x0219
6 0 0010001|001|110|100 0x2274
6 1 0010010|001|110|100 0x2474
6 2 0010100|010|101|100 0x28AC
BX = 111 Event : 8
6 0 0010000|010|100|001 0x20A1
BX = 000 Event : 9
1 0 0110101|001|000|100 0x6A44
4 0 0001001|000|000|011 0x1203
5 0 0010100|001|111|001 0x2879
BX = 001 Event : 10
BX = 010 Event : 11
4 0 0000111|000|110|100 0x0E34
6 0 0100000|000|101|110 0x402E
BX = 011 Event : 12
2 0 0110001|010|011|101 0x629D
2 1 0110010|000|001|101 0x640D
3 0 0000001|001|100|010 0x0262
3 1 0000101|001|001|110 0x0A4E
4 0 0001111|010|101|100 0x1EAC
7 0 0011110|001|101|010 0x3C6A
BX = 100 Event : 13
1 0 0101011|000|001|000 0x5608
1 1 0101111|001|110|101 0x5E75
2 0 0110001|010|010|001 0x6291
3 0 0000100|000|100|101 0x0825
3 1 0000110|000|010|110 0x0C16
4 0 0001111|010|100|100 0x1EA4
4 1 0010001|010|100|100 0x22A4
5 0 0011011|010|011|100 0x369C
5 1 0011101|010|111|110 0x3ABE
6 0 0100001|010|110|111 0x42B7
BX = 101 Event : 14
0 0 0100101|000|000|000 0x4A00
0 1 0100110|000|001|000 0x4C08
0 2 0101000|010|000|010 0x5082
