BX = 000 Event : 1
2 0 0101110|110|101|011 0x5DAB
3 0 0110011|101|111|010 0x677A
4 0 0110111|101|110|001 0x6F71
BX = 001 Event : 2
2 0 0101010|101|001|111 0x554F
3 0 0110011|100|010|101 0x6715
4 0 0001011|110|110|111 0x17B7
5 0 0001100|101|100|000 0x1960
6 0 0010110|101|001|010 0x2D4A
BX = 010 Event : 3
5 0 0001000|110|000|011 0x1183
BX = 011 Event : 4
1 0 1000001|101|100|110 0x8366
2 0 1001000|110|100|010 0x91A2
5 0 0010011|100|000|001 0x2701
5 1 0100101|100|110|110 0x4B36
5 2 0100110|101|110|110 0x4D76
BX = 100 Event : 5
1 0 0101001|110|011|000 0x5398
1 1 0101100|101|011|110 0x595E
1 2 0101101|100|011|110 0x5B1E
2 0 0110011|101|011|100 0x675C
2 1 0110100|101|010|111 0x6957
3 0 0111001|101|100|010 0x7362
3 1 0111110|101|001|101 0x7D4D
7 0 0100010|101|001|110 0x454E
BX = 101 Event : 6
2 0 0101100|100|010|101 0x5915
3 0 0110100|101|010|101 0x6955
BX = 110 Event : 7
0 0 0100010|101|010|100 0x4554
BX = 111 Event : 8
2 0 0011111|101|111|111 0x3F7F
3 0 0100000|101|100|010 0x4162
3 1 0100010|100|100|011 0x4523
3 2 0100011|101|000|101 0x4745
3 3 0100100|101|101|110 0x496E
6 0 0010001|110|011|111 0x239F
BX = 000 Event : 9
0 0 0101010|100|000|010 0x5502
1 0 0110011|101|011|100 0x675C
2 0 0110111|110|011|010 0x6F9A
3 0 1000111|100|111|010 0x8F3A
4 0 0010000|110|110|110 0x21B6
5 0 0011001|101|101|101 0x336D
BX = 001 Event : 10
1 0 0011001|100|110|000 0x3330
4 0 0100101|100|100|100 0x4B24
7 0 0010000|100|011|010 0x211A
BX = 010 Event : 11
2 0 0111001|110|111|111 0x73BF
5 0 0010000|110|101|000 0x21A8
5 1 0010011|100|110|010 0x2732
5 2 0010110|110|000|111 0x2D87
6 0 0011111|110|000|110 0x3F86
BX = 011 Event : 12
1 0 0100111|100|001|001 0x4F09
2 0 0110011|101|101|111 0x676F
4 0 0111101|101|001|000 0x7B48
4 1 0111110|101|111|011 0x7D7B
5 0 0011010|101|011|111 0x355F
BX = 100 Event : 13
BX = 101 Event : 14
0 0 0100100|101|111|000 0x4978
BX = 110 Event : 15
0 0 0101011|101|000|010 0x5742
4 0 0001111|110|000|111 0x1F87
BX = 111 Event : 16
3 0 1001001|101|100|110 0x9366
3 1 1001010|101|111|111 0x957F
3 2 1001011|101|111|111 0x977F
5 0 0010110|110|010|001 0x2D91
6 0 0011101|100|111|000 0x3B38
6 1 0100000|100|011|011 0x411B
BX = 000 Event : 17
2 0 0110100|100|001|111 0x690F
4 0 1000001|100|001|101 0x830D
5 0 0010110|110|000|011 0x2D83
5 1 0010111|110|000|100 0x2F84
5 2 0011010|101|111|111 0x357F
5 3 0011011|110|111|111 0x37BF
BX = 001 Event : 18
2 0 0100111|110|011|111 0x4F9F
BX = 010 Event : 19
2 0 0101001|110|111|010 0x53BA
BX = 011 Event : 20
0 0 0101101|110|000|111 0x5B87
1 0 0101110|100|010|001 0x5D11
4 0 1000100|101|001|001 0x8949
4 1 1001000|100|001|100 0x910C
6 0 0011111|101|111|110 0x3F7E
